Start (Day/UT)	Tmax1 (UT)	Jmax1 (pfu)	γ1	Eqmmax1 (MeV)	GLE	Source max 1	Confidence of The Source Association	T0 FL (Day/UT)	Importance (Xray/Opt)	Localization	T0 CME (Day/UT)	CME (data)	AR
14h	22d10h	6	2.3	100		FL	1	21d02h30m	M2.9/1F	S16E73	21d03h12m	1900/207/107	11777
07h	23d11h	3.7	2.6	70		Fl	1	21d02h30m	M2.9/1F	S16E73	23d21h24m	0339/101/133	11777
20h	18d06h	0.3	1.8	60		FL	1	17d18h16m	M1.4	S07W30	17d19h12m	1202/360/274	11818
16h	21d14h	1	2.15	80		FL	2	20d04h54m	C1.3	S18W87	20d0812	784/360/210	118117, 1d behind WL
00h	17h	102	3	220		FL	2	29d21h43m	C1.2/	N15W33	29d22h12m	1179/360/343	DSF/35°
06h	28d11h	2.3	2.35	100		FL	1	28d01h41m	X1.0/2N	N04W66	28d02h24m	0695/360/296	11875
02h	05h	4.2	2.4	130		FL	1	29d41h42m	X2.3	N05W89	29d22h00m	1001/360/249	11875
07h	16h	1.6	2.2	300		FL	2	02d04h 48m		S11E01	02d04h 48m	828/360/239	11875 3d behind WL
01h	5h	5.5	3	90		FL	1	06d23h35m	M1.9/SPY	S11W88	07d00h00m	1033/360/233	11882
02h	09d11h	0.6	2.7	40		FL	2	08d04h20m	X1.1/2B	S14E15			11890
08h	02h	0.5	2	60		FL	1	10d05h08m	X1.1/2B	S14W13	10d05h36m	682/262/198	11890
12h	19d19h	3.4	2.3	130		FL	1	19d10h 14m	X1.0/SF	S13W69	19d10h36m	0740/360/222	11893
06h	15d01h	1.1	2.3	60		FL	2	14d06h 36m			14d06h 36m	0611/121/112	Flare activity behind EL
08h	27d03h	2	2.3	90		FL	2	26d03mh 24			26d03h 24m	1336/360/036	Flare activity behind EL
18h	28d23h	26.5	2.6	240		FL	2	<27d11h06m			28d17h36m	1118/360/284	Flare activity behind W-limb
07h	06d14h	38	2.1	1350		FL	2	06d07h30m	C2.1/EPL	S15W89	06d08h00m	1402/360/274	11936 1.5d behind WL
18h	08d12h	1000	3.8	400		FL	1	07d18h04m	X1.2/2N	S15W11	07d18h24m	1830/360/231	11944
08h	14h	0.4	3.1	50		FL	2	18d01h27m	C4.7/SF	S16W42	18d01h36m	779/360/044	11976
09h	19d15h	2	3.3	45		FL	2	<19d04h48m			19d04h48m	0612/360/090	11990, 3d behind EL
08h	20d10h	17.7	2.7	250		FL	1	20d07h26m	M3.0/SN	S15W73	20d08h00m	0948/360/268	11976
04h	16h	13.6	2.3	500		FL	1	25d00h39m	X4.9/2B	S12E82	25d01h25m	2147/360/073	11990
02h	10h	97	3.2	180		FL	3	28d00h44m	M1.1/SN	S24E53			11991
04h	11h	0.4	3.2	33
18h	29d22h	1.4	2.3	130		FL	1	29d17h35m	X1.0/2B	N11W32	29d18h12m	0528/360/325	12017
14h	16h	11.8	2.3	500		FL	1	18d12h31m	M7.3/	S20W34	18d13h25m	1203/360/238	12036
18h	26d00h	1.3	2.3	75		FL	1	25d14h46m	M2.0/1B	N05W36	25d15h36m	0555/360/270	12146
18h	03d08h	2.5	2.2	700		FL	2	01d10h55m	X2.4	N14E126	01d11h12m	1901/360/065	12158, 3d behind EL
21h	11d07h	25	2.8	500		FL	1	10d16h59m	X1.6/2B	N14E02	10d18h00m	1267/360/175	12158
14h	01d20	3.2	3.7	50		FL		01d04h44m	C2.7/DSF	S08E52	01d05h00m	1628/159/125
16h	14d11	1.7	2.3	130		FL	2	<13d14h24m			13d14h 24m	2222/360/265	12222, 3d behind WL
08h	21d21h	2.4	3.1	55		FL	3	20d00h11m	X1.8/3B	S21W24	20d01h26m	0830/257/197	12242
00h	12h	5	3.4	50		FL		22d21h15m	C5.7	S19W71			12242
10h	21d19h	1.2	2.3	60		DSF		<21d09h24m	DSF		21d09h24m	1120/360/215	backside event on SWL
02h	15d10h	2	2.2	80		FL	1	15d01h15m	C9.1/1F	S22W25	15d01h48m	0719/360/240	12297
01h	16d09h	5.2	3.5	50		FL	2	15d22h42m	M1.2/2N	S19W32	15d23h24m	0284/015/290	12297
06h	23d07h	0.55	1.6	80		FL	2	21d21h39m	M1.8, M1.2/	S10W80			12322
04h	7h	4.4	2.4	120		FL	2	12d02h15m	C2.6/DSF	S21W83	12d02h48m	0772/250/283	12335
02h	14h	15.4	3.2	100		FL	1	18d00h33m	M1.3/	S16W81	18d01h26m	1714/195/270	12365
16h	22d10h	230	4.15	100		FL	1	21d01h02m	M2.0,M2.6/1N	N12E13	21d02h36m	1366/360/072	12371
09h	26d10h	13.5	3.3	80		FL	1	25d08h02m	M7.9/3B	N09W42	25d08h36m	1627/360/330	12371
18h	01d20h	2.8	2	130		FL	2	<01d14h36m			01d14h36m	1435/360/311	12731, 2.5d behind WL
18h	20d22h	2.2	2.2	80		FL	1	20d17h30m	M2.1/2N	S20W24	20d18h12m	1239/360/219	12415
20h	30d23h	0.9	3	40		FL	2	30d07h36m	M1.3/1N	S22W46	30d10h00m	602/128/304	12422
13h	22d23h	0.5	3	40		FL	1	22d02h12m	C4.4/DSF	S11W27	22d03h16m	817/360/206	12434
02h	7h	19	2.3	900		FL	2	<28d22h26m			29d02h36m	0530/202/251	12435, 1d behind W-limb
16h	10d02h	2.7	2.2	120		FL	1	09d12h49m	M3.9/2B, 1F	S11E41	09d13h25m	1041/273/137	12449
14h	29d02h	1.4	2.3	80		FL	1	28d11h20m	M1.8	S23W11	28d12h12m	1212/360/163	12473
23h	02d01h	4.7	2.6	120		FL	1	01d23h10m	M2.3/	S25W82	01d23h24m	1730/360/227	12473
07h	11h	1.1	1.5	120		FL	1	16d06h34m	C2.2/DSF	N12W88	16d07h00m	592/154/265	12522
07h	15h	0.3	2.1	55		FL	1	18d00h14m	M6.7/1F	N12W62	18d00h48m	1084/162/291	12529
17h	17d21h	1.6	2.1	90		FL	1	15d15h00m	С3.4/SF	N10W62	15d15h12m	1118/176/309	12542
04h	07h	0.4	1.5	100		FL	1	23d05h00m	M7.6, M5.5/3B	N02W74	23d05h24m	0835/117/271	12567
03h	14d10h	11.2	2.6	120		FL	1	14d01h07m	М2.4/1N	S06W29	14d01h26m	1200/360/230	12665
03h	20h	1	1.8	9
21h	05d07h	99	3.5	100		FL	1	04d18h05m	3B/М1.5; M1.0; M1.7; M1.5; M5.5; M2.1	S11W16	04d20h12m	1418/360/184	12673
11h	06d15h	39	2.1	450		FL	1	06d08h52m	X2.2, X9.3/2B	S07W33	06d12h24m	1571/360/201	12673
20h	08d00h	575	4	150		FL	1	07d14h20m	X1.3/2B	S11W49	07d15h12m	0433/360/246	12673
16h	10d19h	850	2.1	1200	GLE 72	FL	1	10d15h35m	X8.2/	S08W88	10d16h00m	3163/360/262	12673
